Measure,Unit,Year,Value
With commodity exceptions,"National currency, Millions",2022,2435.7759
With commodity exceptions,"National currency, Millions",2023,2531.795
With commodity exceptions,"National currency, Millions",2024,2215.5928
Payments based on non-commodity criteria,"Euro, Millions",2013,4461.4867
Payments based on non-commodity criteria,"Euro, Millions",2014,3045.4119
Payments based on non-commodity criteria,"Euro, Millions",2015,3117.9293
Payments based on non-commodity criteria,"Euro, Millions",2016,3139.3089
Payments based on non-commodity criteria,"Euro, Millions",2017,3000.5597
Payments based on non-commodity criteria,"Euro, Millions",2018,2543.9182
Payments based on non-commodity criteria,"Euro, Millions",2019,3856.4575
Payments based on non-commodity criteria,"Euro, Millions",2020,4314.8367
Payments based on non-commodity criteria,"Euro, Millions",2021,4720.5074
Payments based on non-commodity criteria,"Euro, Millions",2022,5041.0954
Payments based on non-commodity criteria,"Euro, Millions",2023,6069.3595
Payments based on non-commodity criteria,"Euro, Millions",2024,8904.0568
Payments based on non-commodity criteria,"US dollar, Millions",2013,5925.382
Payments based on non-commodity criteria,"US dollar, Millions",2014,4045.8332
Payments based on non-commodity criteria,"US dollar, Millions",2015,3459.3844
Payments based on non-commodity criteria,"US dollar, Millions",2016,3474.9124
Payments based on non-commodity criteria,"US dollar, Millions",2017,3389.674
Payments based on non-commodity criteria,"US dollar, Millions",2018,3004.2504
Payments based on non-commodity criteria,"US dollar, Millions",2019,4317.2071
Payments based on non-commodity criteria,"US dollar, Millions",2020,4928.392
Payments based on non-commodity criteria,"US dollar, Millions",2021,5583.1354
Payments based on non-commodity criteria,"US dollar, Millions",2022,5308.5173
Payments based on non-commodity criteria,"US dollar, Millions",2023,6562.6049
Payments based on non-commodity criteria,"US dollar, Millions",2024,9637.5724
Payments based on non-commodity criteria,"National currency, Millions",2013,5925.382
Payments based on non-commodity criteria,"National currency, Millions",2014,4045.8332
Payments based on non-commodity criteria,"National currency, Millions",2015,3459.3844
Payments based on non-commodity criteria,"National currency, Millions",2016,3474.9124
Payments based on non-commodity criteria,"National currency, Millions",2017,3389.674
Payments based on non-commodity criteria,"National currency, Millions",2018,3004.2504
Payments based on non-commodity criteria,"National currency, Millions",2019,4317.2071
Payments based on non-commodity criteria,"National currency, Millions",2020,4928.392
Payments based on non-commodity criteria,"National currency, Millions",2021,5583.1354
Payments based on non-commodity criteria,"National currency, Millions",2022,5308.5173
Payments based on non-commodity criteria,"National currency, Millions",2023,6562.6049
Payments based on non-commodity criteria,"National currency, Millions",2024,9637.5724
Based on long-term resource retirement,"Euro, Millions",2013,2344.0165
Based on long-term resource retirement,"Euro, Millions",2014,1948.2135
Based on long-term resource retirement,"Euro, Millions",2015,1977.2635
Based on long-term resource retirement,"Euro, Millions",2016,2050.7026
Based on long-term resource retirement,"Euro, Millions",2017,1898.8816
Based on long-term resource retirement,"Euro, Millions",2018,1313.1366
Based on long-term resource retirement,"Euro, Millions",2019,2565.8114
Based on long-term resource retirement,"Euro, Millions",2020,2960.0228
Based on long-term resource retirement,"Euro, Millions",2021,3316.3051
Based on long-term resource retirement,"Euro, Millions",2022,3523.7739
Based on long-term resource retirement,"Euro, Millions",2023,3906.4385
Based on long-term resource retirement,"Euro, Millions",2024,4397.1317
Based on long-term resource retirement,"US dollar, Millions",2013,3113.1311
Based on long-term resource retirement,"US dollar, Millions",2014,2588.2039
Based on long-term resource retirement,"US dollar, Millions",2015,2193.8004
Based on long-term resource retirement,"US dollar, Millions",2016,2269.9302
Based on long-term resource retirement,"US dollar, Millions",2017,2145.1296
Based on long-term resource retirement,"US dollar, Millions",2018,1550.754
Based on long-term resource retirement,"US dollar, Millions",2019,2872.3612
Based on long-term resource retirement,"US dollar, Millions",2020,3380.9281
Based on long-term resource retirement,"US dollar, Millions",2021,3922.3284
Based on long-term resource retirement,"US dollar, Millions",2022,3710.7044
Based on long-term resource retirement,"US dollar, Millions",2023,4223.9073
Based on long-term resource retirement,"US dollar, Millions",2024,4759.3671
Based on long-term resource retirement,"National currency, Millions",2013,3113.1311
Based on long-term resource retirement,"National currency, Millions",2014,2588.2039
Based on long-term resource retirement,"National currency, Millions",2015,2193.8004
Based on long-term resource retirement,"National currency, Millions",2016,2269.9302
Based on long-term resource retirement,"National currency, Millions",2017,2145.1296
Based on long-term resource retirement,"National currency, Millions",2018,1550.754
Based on long-term resource retirement,"National currency, Millions",2019,2872.3612
Based on long-term resource retirement,"National currency, Millions",2020,3380.9281
Based on long-term resource retirement,"National currency, Millions",2021,3922.3284
Based on long-term resource retirement,"National currency, Millions",2022,3710.7044
Based on long-term resource retirement,"National currency, Millions",2023,4223.9073
Based on long-term resource retirement,"National currency, Millions",2024,4759.3671
Based on a specific non-commodity output,"Euro, Millions",2013,1966.7685
Based on a specific non-commodity output,"Euro, Millions",2014,959.6733
Based on a specific non-commodity output,"Euro, Millions",2015,1056.0373
Based on a specific non-commodity output,"Euro, Millions",2016,952.495
Based on a specific non-commodity output,"Euro, Millions",2017,998.9816
Based on a specific non-commodity output,"Euro, Millions",2018,1125.4238
Based on a specific non-commodity output,"Euro, Millions",2019,1193.537
Based on a specific non-commodity output,"Euro, Millions",2020,1244.6343
Based on a specific non-commodity output,"Euro, Millions",2021,1285.9602
Based on a specific non-commodity output,"Euro, Millions",2022,1328.9983
Based on a specific non-commodity output,"Euro, Millions",2023,1884.5266
Based on a specific non-commodity output,"Euro, Millions",2024,2083.4188
Based on a specific non-commodity output,"US dollar, Millions",2013,2612.1011
Based on a specific non-commodity output,"US dollar, Millions",2014,1274.927
Based on a specific non-commodity output,"US dollar, Millions",2015,1171.6875
Based on a specific non-commodity output,"US dollar, Millions",2016,1054.3201
Based on a specific non-commodity output,"US dollar, Millions",2017,1128.5301
Based on a specific non-commodity output,"US dollar, Millions",2018,1329.0738
Based on a specific non-commodity output,"US dollar, Millions",2019,1336.1346
Based on a specific non-commodity output,"US dollar, Millions",2020,1421.6171
Based on a specific non-commodity output,"US dollar, Millions",2021,1520.9572
Based on a specific non-commodity output,"US dollar, Millions",2022,1399.4994
Based on a specific non-commodity output,"US dollar, Millions",2023,2037.6785
Based on a specific non-commodity output,"US dollar, Millions",2024,2255.0508
Based on a specific non-commodity output,"National currency, Millions",2013,2612.1011
Based on a specific non-commodity output,"National currency, Millions",2014,1274.927
Based on a specific non-commodity output,"National currency, Millions",2015,1171.6875
Based on a specific non-commodity output,"National currency, Millions",2016,1054.3201
Based on a specific non-commodity output,"National currency, Millions",2017,1128.5301
Based on a specific non-commodity output,"National currency, Millions",2018,1329.0738
Based on a specific non-commodity output,"National currency, Millions",2019,1336.1346
Based on a specific non-commodity output,"National currency, Millions",2020,1421.6171
Based on a specific non-commodity output,"National currency, Millions",2021,1520.9572
Based on a specific non-commodity output,"National currency, Millions",2022,1399.4994
Based on a specific non-commodity output,"National currency, Millions",2023,2037.6785
Based on a specific non-commodity output,"National currency, Millions",2024,2255.0508
Based on other non-commodity criteria,"Euro, Millions",2013,150.7018
Based on other non-commodity criteria,"Euro, Millions",2014,137.5251
Based on other non-commodity criteria,"Euro, Millions",2015,84.6285
Based on other non-commodity criteria,"Euro, Millions",2016,136.1113
Based on other non-commodity criteria,"Euro, Millions",2017,102.6966
Based on other non-commodity criteria,"Euro, Millions",2018,105.3578
Based on other non-commodity criteria,"Euro, Millions",2019,97.1091
Based on other non-commodity criteria,"Euro, Millions",2020,110.1796
Based on other non-commodity criteria,"Euro, Millions",2021,118.2422
Based on other non-commodity criteria,"Euro, Millions",2022,188.3233
Based on other non-commodity criteria,"Euro, Millions",2023,278.3945
Based on other non-commodity criteria,"Euro, Millions",2024,2423.5063
Based on other non-commodity criteria,"US dollar, Millions",2013,200.1497
Based on other non-commodity criteria,"US dollar, Millions",2014,182.7023
Based on other non-commodity criteria,"US dollar, Millions",2015,93.8964
Based on other non-commodity criteria,"US dollar, Millions",2016,150.6621
Based on other non-commodity criteria,"US dollar, Millions",2017,116.0143
Based on other non-commodity criteria,"US dollar, Millions",2018,124.4227
Based on other non-commodity criteria,"US dollar, Millions",2019,108.7112
Based on other non-commodity criteria,"US dollar, Millions",2020,125.8468
Based on other non-commodity criteria,"US dollar, Millions",2021,139.8498
Based on other non-commodity criteria,"US dollar, Millions",2022,198.3135
Based on other non-commodity criteria,"US dollar, Millions",2023,301.0191
Based on other non-commodity criteria,"US dollar, Millions",2024,2623.1546
Based on other non-commodity criteria,"National currency, Millions",2013,200.1497
Based on other non-commodity criteria,"National currency, Millions",2014,182.7023
Based on other non-commodity criteria,"National currency, Millions",2015,93.8964
Based on other non-commodity criteria,"National currency, Millions",2016,150.6621
Based on other non-commodity criteria,"National currency, Millions",2017,116.0143
Based on other non-commodity criteria,"National currency, Millions",2018,124.4227
Based on other non-commodity criteria,"National currency, Millions",2019,108.7112
Based on other non-commodity criteria,"National currency, Millions",2020,125.8468
Based on other non-commodity criteria,"National currency, Millions",2021,139.8498
Based on other non-commodity criteria,"National currency, Millions",2022,198.3135
Based on other non-commodity criteria,"National currency, Millions",2023,301.0191
Based on other non-commodity criteria,"National currency, Millions",2024,2623.1546
Miscellaneous payments,"Euro, Millions",2013,309.8917
Miscellaneous payments,"Euro, Millions",2014,317.8321
Miscellaneous payments,"Euro, Millions",2015,838.9925
Miscellaneous payments,"Euro, Millions",2016,785.9029
Miscellaneous payments,"Euro, Millions",2017,583.6336
Miscellaneous payments,"Euro, Millions",2018,595.5754
Miscellaneous payments,"Euro, Millions",2019,657.1754
Miscellaneous payments,"Euro, Millions",2020,480.3762
Miscellaneous payments,"Euro, Millions",2021,486.708
Miscellaneous payments,"Euro, Millions",2022,431.0887
Miscellaneous payments,"Euro, Millions",2023,605.3135
Miscellaneous payments,"Euro, Millions",2024,606.3298
Miscellaneous payments,"US dollar, Millions",2013,411.5729
Miscellaneous payments,"US dollar, Millions",2014,422.2403
Miscellaneous payments,"US dollar, Millions",2015,930.8735
Miscellaneous payments,"US dollar, Millions",2016,869.9188
Miscellaneous payments,"US dollar, Millions",2017,659.3196
Miscellaneous payments,"US dollar, Millions",2018,703.3472
Miscellaneous payments,"US dollar, Millions",2019,735.6913
Miscellaneous payments,"US dollar, Millions",2020,548.6841
Miscellaneous payments,"US dollar, Millions",2021,575.6492
Miscellaneous payments,"US dollar, Millions",2022,453.9572
Miscellaneous payments,"US dollar, Millions",2023,654.5062
Miscellaneous payments,"US dollar, Millions",2024,656.2793
Miscellaneous payments,"National currency, Millions",2013,411.5729
Miscellaneous payments,"National currency, Millions",2014,422.2403
Miscellaneous payments,"National currency, Millions",2015,930.8735
Miscellaneous payments,"National currency, Millions",2016,869.9188
Miscellaneous payments,"National currency, Millions",2017,659.3196
Miscellaneous payments,"National currency, Millions",2018,703.3472
Miscellaneous payments,"National currency, Millions",2019,735.6913
Miscellaneous payments,"National currency, Millions",2020,548.6841
Miscellaneous payments,"National currency, Millions",2021,575.6492
Miscellaneous payments,"National currency, Millions",2022,453.9572
Miscellaneous payments,"National currency, Millions",2023,654.5062
Miscellaneous payments,"National currency, Millions",2024,656.2793
General Services Support Estimate (GSSE),"Euro, Millions",2013,38165.8612
General Services Support Estimate (GSSE),"Euro, Millions",2014,33759.6779
General Services Support Estimate (GSSE),"Euro, Millions",2015,37733.7404
General Services Support Estimate (GSSE),"Euro, Millions",2016,38761.3166
General Services Support Estimate (GSSE),"Euro, Millions",2017,39713.5504
General Services Support Estimate (GSSE),"Euro, Millions",2018,38513.4962
General Services Support Estimate (GSSE),"Euro, Millions",2019,40419.8719
General Services Support Estimate (GSSE),"Euro, Millions",2020,42511.0768
General Services Support Estimate (GSSE),"Euro, Millions",2021,42592.9302
General Services Support Estimate (GSSE),"Euro, Millions",2022,48026.6699
General Services Support Estimate (GSSE),"Euro, Millions",2023,49754.107
General Services Support Estimate (GSSE),"Euro, Millions",2024,52469.1194
General Services Support Estimate (GSSE),"US dollar, Millions",2013,50688.7769
General Services Support Estimate (GSSE),"US dollar, Millions",2014,44849.7704
General Services Support Estimate (GSSE),"US dollar, Millions",2015,41866.0911
General Services Support Estimate (GSSE),"US dollar, Millions",2016,42905.0428
General Services Support Estimate (GSSE),"US dollar, Millions",2017,44863.6254
General Services Support Estimate (GSSE),"US dollar, Millions",2018,45482.6692
General Services Support Estimate (GSSE),"US dollar, Millions",2019,45249.0293
General Services Support Estimate (GSSE),"US dollar, Millions",2020,48556.0086
General Services Support Estimate (GSSE),"US dollar, Millions",2021,50376.3838
General Services Support Estimate (GSSE),"US dollar, Millions",2022,50574.4062
General Services Support Estimate (GSSE),"US dollar, Millions",2023,53797.5293
General Services Support Estimate (GSSE),"US dollar, Millions",2024,56791.5221
General Services Support Estimate (GSSE),"National currency, Millions",2013,50688.7769
General Services Support Estimate (GSSE),"National currency, Millions",2014,44849.7704
General Services Support Estimate (GSSE),"National currency, Millions",2015,41866.0911
General Services Support Estimate (GSSE),"National currency, Millions",2016,42905.0428
General Services Support Estimate (GSSE),"National currency, Millions",2017,44863.6254
General Services Support Estimate (GSSE),"National currency, Millions",2018,45482.6692
General Services Support Estimate (GSSE),"National currency, Millions",2019,45249.0293
General Services Support Estimate (GSSE),"National currency, Millions",2020,48556.0086
General Services Support Estimate (GSSE),"National currency, Millions",2021,50376.3838
General Services Support Estimate (GSSE),"National currency, Millions",2022,50574.4062
General Services Support Estimate (GSSE),"National currency, Millions",2023,53797.5293
General Services Support Estimate (GSSE),"National currency, Millions",2024,56791.5221
Agricultural knowledge and innovation system,"Euro, Millions",2013,10989.2549
Agricultural knowledge and innovation system,"Euro, Millions",2014,11091.9759
Agricultural knowledge and innovation system,"Euro, Millions",2015,11776.6251
Agricultural knowledge and innovation system,"Euro, Millions",2016,11786.1308
Agricultural knowledge and innovation system,"Euro, Millions",2017,12049.1081
Agricultural knowledge and innovation system,"Euro, Millions",2018,12067.5307
Agricultural knowledge and innovation system,"Euro, Millions",2019,12808.1407
Agricultural knowledge and innovation system,"Euro, Millions",2020,12421.9319
Agricultural knowledge and innovation system,"Euro, Millions",2021,13702.72
Agricultural knowledge and innovation system,"Euro, Millions",2022,14225.2966
Agricultural knowledge and innovation system,"Euro, Millions",2023,15160.9987
Agricultural knowledge and innovation system,"Euro, Millions",2024,15755.7604
Agricultural knowledge and innovation system,"US dollar, Millions",2013,14595.03
Agricultural knowledge and innovation system,"US dollar, Millions",2014,14735.7025
Agricultural knowledge and innovation system,"US dollar, Millions",2015,13066.3235
Agricultural knowledge and innovation system,"US dollar, Millions",2016,13046.1112
Agricultural knowledge and innovation system,"US dollar, Millions",2017,13611.643
Agricultural knowledge and innovation system,"US dollar, Millions",2018,14251.1992
Agricultural knowledge and innovation system,"US dollar, Millions",2019,14338.3912
Agricultural knowledge and innovation system,"US dollar, Millions",2020,14188.2887
Agricultural knowledge and innovation system,"US dollar, Millions",2021,16206.7619
Agricultural knowledge and innovation system,"US dollar, Millions",2022,14979.9254
Agricultural knowledge and innovation system,"US dollar, Millions",2023,16393.1044
Agricultural knowledge and innovation system,"US dollar, Millions",2024,17053.7189
Agricultural knowledge and innovation system,"National currency, Millions",2013,14595.03
Agricultural knowledge and innovation system,"National currency, Millions",2014,14735.7025
Agricultural knowledge and innovation system,"National currency, Millions",2015,13066.3235
Agricultural knowledge and innovation system,"National currency, Millions",2016,13046.1112
Agricultural knowledge and innovation system,"National currency, Millions",2017,13611.643
Agricultural knowledge and innovation system,"National currency, Millions",2018,14251.1992
Agricultural knowledge and innovation system,"National currency, Millions",2019,14338.3912
Agricultural knowledge and innovation system,"National currency, Millions",2020,14188.2887
Agricultural knowledge and innovation system,"National currency, Millions",2021,16206.7619
Agricultural knowledge and innovation system,"National currency, Millions",2022,14979.9254
Agricultural knowledge and innovation system,"National currency, Millions",2023,16393.1044
Agricultural knowledge and innovation system,"National currency, Millions",2024,17053.7189
Agricultural knowledge generation,"Euro, Millions",2013,6373.0931
Agricultural knowledge generation,"Euro, Millions",2014,6424.4364
Agricultural knowledge generation,"Euro, Millions",2015,6703.2164
Agricultural knowledge generation,"Euro, Millions",2016,6891.9335
Agricultural knowledge generation,"Euro, Millions",2017,6946.1761
Agricultural knowledge generation,"Euro, Millions",2018,6993.1312
Agricultural knowledge generation,"Euro, Millions",2019,7651.5124
Agricultural knowledge generation,"Euro, Millions",2020,7222.6981
Agricultural knowledge generation,"Euro, Millions",2021,8225.9677
Agricultural knowledge generation,"Euro, Millions",2022,8518.7322
Agricultural knowledge generation,"Euro, Millions",2023,8964.534
Agricultural knowledge generation,"Euro, Millions",2024,9177.8971
Agricultural knowledge generation,"US dollar, Millions",2013,8464.2213
Agricultural knowledge generation,"US dollar, Millions",2014,8534.871
Agricultural knowledge generation,"US dollar, Millions",2015,7437.3085
Agricultural knowledge generation,"US dollar, Millions",2016,7628.7063
Agricultural knowledge generation,"US dollar, Millions",2017,7846.9601
Agricultural knowledge generation,"US dollar, Millions",2018,8258.5666
Agricultural knowledge generation,"US dollar, Millions",2019,8565.6756
Agricultural knowledge generation,"US dollar, Millions",2020,8249.7415
Agricultural knowledge generation,"US dollar, Millions",2021,9729.1852
Agricultural knowledge generation,"US dollar, Millions",2022,8970.637
Agricultural knowledge generation,"US dollar, Millions",2023,9693.0647
Agricultural knowledge generation,"US dollar, Millions",2024,9933.9717
Agricultural knowledge generation,"National currency, Millions",2013,8464.2213
Agricultural knowledge generation,"National currency, Millions",2014,8534.871
Agricultural knowledge generation,"National currency, Millions",2015,7437.3085
Agricultural knowledge generation,"National currency, Millions",2016,7628.7063
Agricultural knowledge generation,"National currency, Millions",2017,7846.9601
Agricultural knowledge generation,"National currency, Millions",2018,8258.5666
Agricultural knowledge generation,"National currency, Millions",2019,8565.6756
Agricultural knowledge generation,"National currency, Millions",2020,8249.7415
Agricultural knowledge generation,"National currency, Millions",2021,9729.1852
Agricultural knowledge generation,"National currency, Millions",2022,8970.637
Agricultural knowledge generation,"National currency, Millions",2023,9693.0647
Agricultural knowledge generation,"National currency, Millions",2024,9933.9717
Agricultural knowledge transfer,"Euro, Millions",2013,4616.1618
Agricultural knowledge transfer,"Euro, Millions",2014,4667.5395
Agricultural knowledge transfer,"Euro, Millions",2015,5073.4087
Agricultural knowledge transfer,"Euro, Millions",2016,4894.1973
Agricultural knowledge transfer,"Euro, Millions",2017,5102.932
Agricultural knowledge transfer,"Euro, Millions",2018,5074.3995
Agricultural knowledge transfer,"Euro, Millions",2019,5156.6283
Agricultural knowledge transfer,"Euro, Millions",2020,5199.2337
Agricultural knowledge transfer,"Euro, Millions",2021,5476.7522
Agricultural knowledge transfer,"Euro, Millions",2022,5706.5644
Agricultural knowledge transfer,"Euro, Millions",2023,6196.4647
Agricultural knowledge transfer,"Euro, Millions",2024,6577.8633
Agricultural knowledge transfer,"US dollar, Millions",2013,6130.8088
Agricultural knowledge transfer,"US dollar, Millions",2014,6200.8316
Agricultural knowledge transfer,"US dollar, Millions",2015,5629.015
Agricultural knowledge transfer,"US dollar, Millions",2016,5417.4048
Agricultural knowledge transfer,"US dollar, Millions",2017,5764.683
Agricultural knowledge transfer,"US dollar, Millions",2018,5992.6326
Agricultural knowledge transfer,"US dollar, Millions",2019,5772.7156
Agricultural knowledge transfer,"US dollar, Millions",2020,5938.5472
Agricultural knowledge transfer,"US dollar, Millions",2021,6477.5767
Agricultural knowledge transfer,"US dollar, Millions",2022,6009.2883
Agricultural knowledge transfer,"US dollar, Millions",2023,6700.0397
Agricultural knowledge transfer,"US dollar, Millions",2024,7119.7473
Agricultural knowledge transfer,"National currency, Millions",2013,6130.8088
Agricultural knowledge transfer,"National currency, Millions",2014,6200.8316
Agricultural knowledge transfer,"National currency, Millions",2015,5629.015
Agricultural knowledge transfer,"National currency, Millions",2016,5417.4048
Agricultural knowledge transfer,"National currency, Millions",2017,5764.683
Agricultural knowledge transfer,"National currency, Millions",2018,5992.6326
Agricultural knowledge transfer,"National currency, Millions",2019,5772.7156
Agricultural knowledge transfer,"National currency, Millions",2020,5938.5472
Agricultural knowledge transfer,"National currency, Millions",2021,6477.5767
Agricultural knowledge transfer,"National currency, Millions",2022,6009.2883
Agricultural knowledge transfer,"National currency, Millions",2023,6700.0397
Agricultural knowledge transfer,"National currency, Millions",2024,7119.7473
Education,"Euro, Millions",2013,3636.5257
Education,"Euro, Millions",2014,3812.7521
Education,"Euro, Millions",2015,4039.6495
Education,"Euro, Millions",2016,3862.011
Education,"Euro, Millions",2017,3987.233
Education,"Euro, Millions",2018,4035.6876
Education,"Euro, Millions",2019,4080.9933
Education,"Euro, Millions",2020,4109.1432
Education,"Euro, Millions",2021,4324.8723
Education,"Euro, Millions",2022,4461.8658
Education,"Euro, Millions",2023,4909.078
Education,"Euro, Millions",2024,5173.111
Education,"US dollar, Millions",2013,4829.7362
Education,"US dollar, Millions",2014,5065.2455
Education,"US dollar, Millions",2015,4482.0453
Education,"US dollar, Millions",2016,4274.874
Education,"US dollar, Millions",2017,4504.2995
Education,"US dollar, Millions",2018,4765.9615
Education,"US dollar, Millions",2019,4568.5693
Education,"US dollar, Millions",2020,4693.4495
Education,"US dollar, Millions",2021,5115.2017
Education,"US dollar, Millions",2022,4698.5605
Education,"US dollar, Millions",2023,5308.0295
Education,"US dollar, Millions",2024,5599.2715
Education,"National currency, Millions",2013,4829.7362
Education,"National currency, Millions",2014,5065.2455
Education,"National currency, Millions",2015,4482.0453
Education,"National currency, Millions",2016,4274.874
Education,"National currency, Millions",2017,4504.2995
Education,"National currency, Millions",2018,4765.9615
Education,"National currency, Millions",2019,4568.5693
Education,"National currency, Millions",2020,4693.4495
Education,"National currency, Millions",2021,5115.2017
Education,"National currency, Millions",2022,4698.5605
Education,"National currency, Millions",2023,5308.0295
Education,"National currency, Millions",2024,5599.2715
Extension services,"Euro, Millions",2013,979.6361
Extension services,"Euro, Millions",2014,854.7874
Extension services,"Euro, Millions",2015,1033.7592
Extension services,"Euro, Millions",2016,1032.1863
Extension services,"Euro, Millions",2017,1115.699
Extension services,"Euro, Millions",2018,1038.7119
Extension services,"Euro, Millions",2019,1075.635
Extension services,"Euro, Millions",2020,1090.0905
Extension services,"Euro, Millions",2021,1151.8799
Extension services,"Euro, Millions",2022,1244.6986
Extension services,"Euro, Millions",2023,1287.3867
Extension services,"Euro, Millions",2024,1404.7523
Extension services,"US dollar, Millions",2013,1301.0725
Extension services,"US dollar, Millions",2014,1135.5861
Extension services,"US dollar, Millions",2015,1146.9697
Extension services,"US dollar, Millions",2016,1142.5308
Extension services,"US dollar, Millions",2017,1260.3834
Extension services,"US dollar, Millions",2018,1226.671
Extension services,"US dollar, Millions",2019,1204.1463
Extension services,"US dollar, Millions",2020,1245.0977
Extension services,"US dollar, Millions",2021,1362.375
Extension services,"US dollar, Millions",2022,1310.7278
Extension services,"US dollar, Millions",2023,1392.0102
Extension services,"US dollar, Millions",2024,1520.4757
Extension services,"National currency, Millions",2013,1301.0725
Extension services,"National currency, Millions",2014,1135.5861
Extension services,"National currency, Millions",2015,1146.9697
Extension services,"National currency, Millions",2016,1142.5308
Extension services,"National currency, Millions",2017,1260.3834
Extension services,"National currency, Millions",2018,1226.671
Extension services,"National currency, Millions",2019,1204.1463
Extension services,"National currency, Millions",2020,1245.0977
Extension services,"National currency, Millions",2021,1362.375
Extension services,"National currency, Millions",2022,1310.7278
Extension services,"National currency, Millions",2023,1392.0102
Extension services,"National currency, Millions",2024,1520.4757
Inspection and control,"Euro, Millions",2013,2993.0516
Inspection and control,"Euro, Millions",2014,3104.7154
Inspection and control,"Euro, Millions",2015,3338.75
Inspection and control,"Euro, Millions",2016,3609.3066
Inspection and control,"Euro, Millions",2017,3595.3875
Inspection and control,"Euro, Millions",2018,3751.4225
Inspection and control,"Euro, Millions",2019,3763.1143
Inspection and control,"Euro, Millions",2020,3837.142
Inspection and control,"Euro, Millions",2021,4037.9588
Inspection and control,"Euro, Millions",2022,4678.7635
Inspection and control,"Euro, Millions",2023,4881.6624
Inspection and control,"Euro, Millions",2024,4806.8689
Inspection and control,"US dollar, Millions",2013,3975.1265
Inspection and control,"US dollar, Millions",2014,4124.6179
Inspection and control,"US dollar, Millions",2015,3704.3879
Inspection and control,"US dollar, Millions",2016,3995.1546
Inspection and control,"US dollar, Millions",2017,4061.6394
Inspection and control,"US dollar, Millions",2018,4430.2575
Inspection and control,"US dollar, Millions",2019,4212.7118
Inspection and control,"US dollar, Millions",2020,4382.7706
Inspection and control,"US dollar, Millions",2021,4775.8575
Inspection and control,"US dollar, Millions",2022,4926.9643
Inspection and control,"US dollar, Millions",2023,5278.3859
Inspection and control,"US dollar, Millions",2024,5202.8585
Inspection and control,"National currency, Millions",2013,3975.1265
Inspection and control,"National currency, Millions",2014,4124.6179
Inspection and control,"National currency, Millions",2015,3704.3879
Inspection and control,"National currency, Millions",2016,3995.1546
Inspection and control,"National currency, Millions",2017,4061.6394
Inspection and control,"National currency, Millions",2018,4430.2575
Inspection and control,"National currency, Millions",2019,4212.7118
Inspection and control,"National currency, Millions",2020,4382.7706
Inspection and control,"National currency, Millions",2021,4775.8575
Inspection and control,"National currency, Millions",2022,4926.9643
Inspection and control,"National currency, Millions",2023,5278.3859
Inspection and control,"National currency, Millions",2024,5202.8585
Agricultural product safety and inspection,"Euro, Millions",2013,1838.6039
Agricultural product safety and inspection,"Euro, Millions",2014,1787.6317
Agricultural product safety and inspection,"Euro, Millions",2015,1924.6847
Agricultural product safety and inspection,"Euro, Millions",2016,2034.4793
Agricultural product safety and inspection,"Euro, Millions",2017,2006.7378
Agricultural product safety and inspection,"Euro, Millions",2018,2148.8726
Agricultural product safety and inspection,"Euro, Millions",2019,2059.3295
Agricultural product safety and inspection,"Euro, Millions",2020,2073.1903
Agricultural product safety and inspection,"Euro, Millions",2021,2146.7148
Agricultural product safety and inspection,"Euro, Millions",2022,2629.1312
Agricultural product safety and inspection,"Euro, Millions",2023,2719.5559
Agricultural product safety and inspection,"Euro, Millions",2024,2412.7194
Agricultural product safety and inspection,"US dollar, Millions",2013,2441.8834
Agricultural product safety and inspection,"US dollar, Millions",2014,2374.8708
Agricultural product safety and inspection,"US dollar, Millions",2015,2135.4635
Agricultural product safety and inspection,"US dollar, Millions",2016,2251.9726
Agricultural product safety and inspection,"US dollar, Millions",2017,2266.9726
Agricultural product safety and inspection,"US dollar, Millions",2018,2537.7198
Agricultural product safety and inspection,"US dollar, Millions",2019,2305.3675
Agricultural product safety and inspection,"US dollar, Millions",2020,2367.991
Agricultural product safety and inspection,"US dollar, Millions",2021,2539.0066
Agricultural product safety and inspection,"US dollar, Millions",2022,2768.6023
Agricultural product safety and inspection,"US dollar, Millions",2023,2940.5691
Agricultural product safety and inspection,"US dollar, Millions",2024,2611.479
Agricultural product safety and inspection,"National currency, Millions",2013,2441.8834
Agricultural product safety and inspection,"National currency, Millions",2014,2374.8708
Agricultural product safety and inspection,"National currency, Millions",2015,2135.4635
Agricultural product safety and inspection,"National currency, Millions",2016,2251.9726
Agricultural product safety and inspection,"National currency, Millions",2017,2266.9726
Agricultural product safety and inspection,"National currency, Millions",2018,2537.7198
Agricultural product safety and inspection,"National currency, Millions",2019,2305.3675
Agricultural product safety and inspection,"National currency, Millions",2020,2367.991
Agricultural product safety and inspection,"National currency, Millions",2021,2539.0066
Agricultural product safety and inspection,"National currency, Millions",2022,2768.6023
Agricultural product safety and inspection,"National currency, Millions",2023,2940.5691
Agricultural product safety and inspection,"National currency, Millions",2024,2611.479
Pest and disease inspection and control,"Euro, Millions",2013,841.013
Pest and disease inspection and control,"Euro, Millions",2014,1040.2187
Pest and disease inspection and control,"Euro, Millions",2015,1094.0701
Pest and disease inspection and control,"Euro, Millions",2016,1250.5483
Pest and disease inspection and control,"Euro, Millions",2017,1274.7539
Pest and disease inspection and control,"Euro, Millions",2018,1274.6841
Pest and disease inspection and control,"Euro, Millions",2019,1345.281
